cid,cntry
RU,Россия
US,США
DE,Германия
FR,Франция
CN,Китай
JP,Япония
UK,Великобритания
IT,Италия
ES,Испания
CA,Канада
BR,Бразилия
AU,Австралия
IN,Индия
KR,Южная Корея
MX,Мексика
PL,Польша
TR,Турция
NL,Нидерланды
SE,Швеция
CH,Швейцария
UA,Украина
KZ,Казахстан
BY,Беларусь
UAE,ОАЭ
SG,Сингапур
IL,Израиль
NO,Норвегия
FI,Финляндия
DK,Дания
BE,Бельгия
AT,Австрия
CZ,Чехия
GR,Греция
PT,Португалия
HU,Венгрия
RO,Румыния
BG,Болгария
RS,Сербия
HR,Хорватия
SK,Словакия
SI,Словения
LT,Литва
LV,Латвия
EE,Эстония
CY,Кипр
LU,Люксембург
IS,Исландия
IE,Ирландия
NZ,Новая Зеландия
AR,Аргентина
CL,Чили
CO,Колумбия
PE,Перу
ZA,Южная Африка
EG,Египет
MA,Марокко
SA,Саудовская Аравия
QA,Катар
TH,Таиланд
ID,Индонезия
MY,Малайзия
VN,Вьетнам
PH,Филиппины
PK,Пакистан
BD,Бангладеш
LK,Шри-Ланка
IR,Иран
IQ,Ирак
JO,Иордания
KW,Кувейт
OM,Оман
BH,Бахрейн
GE,Грузия
AM,Армения
AZ,Азербайджан
UZ,Узбекистан
KG,Киргизия
TJ,Таджикистан
TM,Туркменистан
MN,Монголия
NP,Непал
MM,Мьянма
KH,Камбоджа
LA,Лаос
BN,Бруней
FJ,Фиджи
PG,Папуа-Новая Гвинея
MV,Мальдивы
BT,Бутан
AF,Афганистан
YE,Йемен
SY,Сирия
LB,Ливан
PS,Палестина
DZ,Алжир
TN,Тунис
LY,Ливия
SD,Судан
ET,Эфиопия
KE,Кения
NG,Нигерия
GH,Гана
CI,Кот-д'Ивуар
SN,Сенегал
ML,Мали
