prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
201,PRD-1001,Ноутбук Lenovo IdeaPad,45000,Электроника,2023-01-01 00:00:00,2024-12-31 23:59:59
202,PRD-1002,Смартфон iPhone 14 Pro,85000,Электроника,2023-03-15 00:00:00,2024-06-30 23:59:59
203,PRD-1003,Кофемашина DeLonghi Magnifica,35000,Бытовая техника,2022-11-01 00:00:00,2024-10-31 23:59:59
204,PRD-1004,Микроволновая печь Samsung,12000,Бытовая техника,2023-05-20 00:00:00,2025-05-19 23:59:59
205,PRD-1005,Футболка хлопковая мужская,1500,Одежда,2023-02-10 00:00:00,2024-02-09 23:59:59
206,PRD-1006,Книга "Python для начинающих",2500,Книги,2023-07-01 00:00:00,2025-06-30 23:59:59
207,PRD-1007,Наушники Sony WH-1000XM4,18000,Электроника,2023-04-05 00:00:00,2024-04-04 23:59:59
208,PRD-1008,Кресло офисное Ergohuman,28000,Мебель,2023-01-15 00:00:00,2024-12-31 23:59:59
209,PRD-1009,Холодильник LG DoorCooling+,67000,Бытовая техника,2022-09-10 00:00:00,2025-09-09 23:59:59
210,PRD-1010,Джинсы мужские классические,3500,Одежда,2023-03-01 00:00:00,2024-08-31 23:59:59
211,PRD-1011,Планшет iPad Air,62000,Электроника,2023-06-15 00:00:00,2025-01-14 23:59:59
212,PRD-1012,Стиральная машина Bosch,43000,Бытовая техника,2022-12-05 00:00:00,2024-11-04 23:59:59
213,PRD-1013,Кроссовки Nike Air Max,7500,Одежда,2023-04-20 00:00:00,2024-10-19 23:59:59
214,PRD-1014,Монитор Dell 27",21000,Электроника,2023-02-28 00:00:00,2025-02-27 23:59:59
215,PRD-1015,Книга "Грокаем алгоритмы",1800,Книги,2023-08-10 00:00:00,2025-12-31 23:59:59
216,PRD-1016,Диван угловой Velutto,89000,Мебель,2023-05-05 00:00:00,2024-12-31 23:59:59
217,PRD-1017,Посудомоечная машина Miele,52000,Бытовая техника,2022-10-15 00:00:00,2024-09-14 23:59:59
